#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K01488	327	320
K01805	141	144
K01812	150	134
K03082	48	38
K03337	62	93
K09001	465	428
K09955	292	292
K11105	641	668
K11179	345	336
K11180	1	1
K11181	1	1
K11927	457	417
K12661	59	58
K00248	42	38
K01491	709	716
K01579	482	517
K02062	69	73
K09005	523	523
K10026	256	251
K00122	10	25
K00826	976	1056
K00857	635	624
K03322	124	132
K04096	503	518
K09787	177	184
K11175	680	696
K01673	646	658
K02636	2	6
K03801	554	525
K07152	801	863
K12132	352	664
K20074	416	424
K01574	16	23
K09959	97	97
K11472	205	204
K11924	182	197
K14449	15	17
K18983	97	84
K20444	69	102
K00290	177	152
K00547	213	219
K01297	324	342
K01692	268	264
K07263	625	636
K10439	382	405
K13021	22	25
K00262	492	500
K00334	270	250
K00602	828	836
K00616	1044	1087
K00783	668	699
K00855	385	371
K00887	176	183
K00989	486	477
K01493	227	255
K01572	267	256
K01643	44	34
K01646	44	34
K01779	310	304
K01783	794	797
K01938	74	87
K02107	7	9
K02323	7	7
K02347	48	49
K02427	383	351
K02469	682	707
K03413	652	632
K03530	1260	1302
K03555	381	355
K03572	577	591
K03686	911	922
K03698	178	198
K03743	457	443
K03782	725	685
K04043	891	918
K04076	17	25
K06013	270	276
K06024	358	345
K06936	7	7
K06941	650	629
K07003	550	535
K07273	61	59
K07316	76	78
K07397	802	865
K07568	433	424
K07662	234	214
K07730	7	7
K08971	7	7
K09181	209	218
K09728	7	7
K09746	14	14
K09758	23	27
K09765	158	136
K09809	13	16
K10896	7	7
K11754	616	593
K15904	7	7
K00057	824	833
K00145	680	676
K00194	1	1
K00197	1	1
K00200	19	17
K00201	17	17
K00202	17	17
K00252	692	721
K00320	52	49
K00620	387	395
K00672	2	0
K00818	482	518
K00821	371	354
K00930	669	673
K00974	597	614
K01499	25	25
K01571	271	258
K01613	573	590
K01653	714	733
K01715	222	274
K01778	652	668
K01809	637	660
K01971	342	355
K02106	179	180
K02195	275	263
K02197	282	271
K02342	2075	2173
K02485	65	58
K03044	7	7
K03045	7	7
K03117	443	394
K03218	814	814
K03308	642	744
K03316	454	473
K03405	242	254
K03406	2912	2769
K03407	369	396
K03408	643	668
K03411	63	73
K03412	430	449
K03455	677	680
K03569	698	736
K03741	992	1047
K03775	462	477
K04477	119	104
K05770	395	400
K05845	515	511
K05846	841	847
K05847	703	705
K05896	529	503
K06412	16	24
K06442	199	224
K06988	157	137
K07018	101	88
K07043	206	206
K07075	241	255
K07138	1	1
K07163	7	7
K07228	73	64
