#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K20626	1	1
K20627	1	1
K20449	16	17
K09896	65	62
K12264	43	33
K19736	8	0
K05245	44	34
K14587	43	33
K05299	1	1
K02439	84	89
K03487	65	62
K03382	1	1
K02496	251	235
K02399	349	343
K11712	26	20
K02550	43	33
K11106	43	37
K13634	375	358
K03532	43	33
K11736	65	62
K20448	1	1
K07771	65	62
K02680	195	163
K15461	332	323
K10551	43	33
K10549	43	33
K06141	65	62
K07276	27	20
K13795	21	17
K18302	9	1
K18303	8	0
K19334	43	33
K16291	155	202
K11935	43	33
K11719	396	358
K09477	43	33
K03972	43	33
K12370	65	62
K04754	357	344
K02850	43	34
K18530	43	33
K15536	22	25
K07285	272	233
K10942	171	145
K12993	0	6
K13815	10	0
K13816	30	25
K18901	19	21
K10715	10	6
K19594	1	0
K03805	157	169
K11895	85	113
K11905	23	42
K11910	23	36
K00570	45	46
K02670	194	161
K02676	142	156
K03196	0	8
K03198	0	8
K03203	0	8
K07711	45	39
K07821	43	33
K13060	24	25
K03089	408	404
K11906	149	164
K20977	152	127
K19592	2	2
K19641	15	17
K07803	43	33
K09985	19	20
K13009	2	0
K02848	46	36
K02565	65	62
K05803	217	188
K07239	15	17
K14414	44	39
K03669	148	153
K03670	189	184
K03745	352	323
K05952	284	275
K11744	65	58
K14055	220	192
K14987	19	20
K17736	126	151
K19057	5	0
K02494	214	214
K03181	329	295
K03194	0	8
K03557	277	259
K03586	364	346
K03597	100	127
K03599	383	364
K03600	346	328
K03643	345	318
K03656	286	269
K04774	328	310
K06134	149	143
K06186	359	319
K07122	380	361
K07153	357	338
K07287	354	339
K07320	362	346
K09921	364	347
K10763	321	311
K12066	6	10
K15790	16	17
K18480	47	61
K18778	240	208
K09826	4	2
K13053	369	315
K13408	8	0
K13409	8	6
K15396	356	370
K03675	87	87
K00220	18	19
K01716	331	304
K02196	270	266
K02225	6	3
K02498	399	381
K05777	307	288
K05779	309	290
K07774	156	143
K08344	174	151
K09883	19	27
K09948	143	151
K09987	18	20
K11075	93	105
K11076	112	123
K13583	19	20
K13584	16	18
K14981	18	20
K17938	65	62
K18587	0	1
K18989	5	27
K18990	22	44
K02258	186	171
K02281	5	3
K03815	43	33
K06601	3	3
K06602	3	3
K07716	6	5
K09937	96	82
K09991	1	1
K11605	0	4
K11606	15	21
K13283	220	191
K13587	3	3
K13588	18	20
K13593	1	1
K17662	3	3
K18306	1	0
K18307	1	0
K18902	20	21
K11604	0	4
K14980	3	3
K00407	237	239
K02623	125	123
K04080	238	210
K05805	81	100
K06033	2	2
K06918	347	334
K06938	174	151
K07167	185	175
K07261	83	81
K07536	39	37
K09024	119	118
K09947	20	44
K10126	194	218
K10564	2	2
K11357	16	18
K12372	67	64
K13592	3	3
K13637	65	58
K13772	2	2
K13794	5	0
K14986	18	21
K15785	113	129
K16516	24	31
K19339	7	0
K07807	4	4
K09982	45	35
K12405	0	6
K13013	2	0
K13582	16	18
K15861	3	0
K04772	220	198
K12685	0	1
K07290	75	71
K09980	76	104
K16088	590	520
K18143	0	1
K18552	2	3
K18586	0	19
K04062	91	82
K06049	2	2
K09845	2	2
K09846	2	2
K13991	2	2
K00035	113	108
K01800	154	128
K05819	58	50
K09021	104	101
K09023	87	83
K11208	43	33
K11475	102	84
K17850	17	28
K18298	16	30
K07274	114	101
K07389	2	2
K15229	10	10
K16556	2	2
K16557	2	2
K16558	2	2
K16567	2	2
K17760	18	24
K02686	219	181
K05297	132	151
K07184	197	211
K07678	162	168
K09898	336	320
K19163	31	24
K19661	15	17
K08997	223	195
K01141	335	326
K10025	146	164
K10018	44	50
K10019	54	57
K10020	54	57
K14029	2	0
K16256	4	0
K16257	2	0
K16258	4	0
K18096	2	2
K03477	43	33
K09801	270	258
K10235	2	2
K12252	112	108
K12368	87	87
K12369	68	64
K13786	2	2
K18996	10	7
K10001	83	64
K10002	51	39
K10003	73	64
K20267	1	0
K06145	115	150
K19778	43	33
K02571	19	10
K15782	110	127
K15786	16	45
K01825	314	295
K11890	154	166
K14028	2	0
K16254	2	0
K16255	2	0
K16259	4	0
K16260	4	0
K10565	2	2
K01003	95	82
K03220	1	4
K07772	43	33
K14657	3	0
K14659	1	0
K14666	1	0
K15546	1	0
K00039	7	2
K13777	14	14
K13778	31	32
K16080	1	0
K18030	26	24
K02562	44	37
K04775	66	62
K09938	163	134
K19732	2	0
K20941	1	0
K20942	1	0
K20997	1	0
K18900	22	25
K12371	65	62
K20218	94	82
K04334	43	33
K15511	21	20
K07070	344	330
K20272	1	0
K10854	15	17
K10855	15	17
K12145	43	33
K19595	1	0
K13255	177	181
K14588	65	62
K17948	43	33
K04753	65	62
K14060	44	33
K05373	12	9
K15721	32	21
K03812	345	330
K11711	5	0
K16559	2	2
K10714	17	17
K13635	70	62
K20975	19	49
K19336	22	25
K00427	43	33
K13779	8	4
K03214	73	62
K14974	10	7
K05597	5	0
K10021	44	50
K16077	17	43
K16552	2	2
K05778	293	266
K08261	96	84
K18982	111	101
K20252	2	2
K05358	38	49
K10538	175	168
K11894	0	1
K03607	217	209
K09999	65	62
K10014	65	58
K10015	65	62
K18305	16	24
K12055	19	27
K08687	15	17
K20906	17	18
K03974	217	189
K11745	43	33
K16693	65	62
K19611	75	65
K03835	43	37
K03425	65	62
K01169	43	33
K18297	0	6
K12266	307	265
K09997	49	43
K07806	65	62
K08083	54	49
K11913	1	0
K16138	43	37
K08082	35	29
K18364	20	21
K16347	43	33
K05501	337	319
K07262	72	65
K07679	77	92
K07690	87	83
K09889	381	361
K01086	19	18
K03690	364	346
K07639	199	214
K07641	56	33
K07663	56	33
K12973	43	37
K16322	86	70
K19303	65	62
K02402	185	198
K02403	163	173
K02673	132	127
K15974	65	74
K02451	219	180
K07169	44	54
K13356	17	18
K05984	65	62
K10926	169	145
K18242	2	2
K05875	87	104
K10022	127	167
K10023	148	166
K10024	111	122
K00007	29	31
K08604	3	18
K15852	3	3
K07700	43	33
K07702	43	33
K10972	43	33
K07345	87	89
K10013	131	133
K10017	67	64
K11107	217	188
K15540	59	63
K20455	196	200
K07677	65	62
K07687	87	91
K18291	3	3
K06858	65	58
K08318	43	33
K16135	43	33
K11474	76	76
K18289	3	3
K03472	250	252
K10016	65	62
K12943	43	33
K05998	0	6
K13061	22	29
K06887	43	33
K13636	43	33
K15550	43	33
K13285	0	8
K19734	22	25
K12660	43	33
K13287	0	8
K10954	0	1
K05517	65	62
K05599	0	21
K05600	0	21
K11311	0	21
K07688	65	58
K16249	34	36
K18968	59	39
K00032	110	127
K00840	65	58
K02504	217	188
K10918	152	126
K07637	77	71
K18258	0	6
K17737	32	69
K09912	85	90
K07286	236	236
K12281	169	145
K12284	152	126
K08160	65	62
K19160	195	159
K20086	1	0
K20087	1	0
K20088	1	0
K00998	65	64
K07686	43	33
K09900	43	33
K18800	332	319
K03184	225	216
K12981	43	33
K15548	65	62
K03764	217	188
K12265	43	33
K08312	186	199
K12975	87	87
K09890	43	37
K20973	0	1
K07811	43	33
K16348	65	62
K07508	1	6
K07773	217	188
K00892	65	62
K09906	331	291
K09907	65	62
K05851	67	59
K09918	237	210
K01407	217	188
K04770	65	62
K07471	43	33
K19234	43	33
K04739	1	6
K04711	1	0
K09910	65	62
K15653	1	0
K15681	1	0
K00461	1	0
K19517	1	0
K15642	1	0
K15643	1	0
K16416	1	0
K16417	1	0
K20788	1	0
K03633	65	62
K03804	43	37
K07703	65	62
K19236	65	58
K14061	43	33
K08993	43	37
K02344	65	62
K05368	217	188
K05787	192	208
K05997	65	62
K09998	65	62
K10000	43	37
K19810	217	210
K15735	153	160
K03112	222	192
K04691	220	208
K06597	28	27
K06598	30	29
K07740	347	337
K09916	347	337
K13776	6	7
K13938	324	283
K21025	13	5
K03765	43	33
K03807	245	217
K18473	3	3
K19696	13	11
K02560	65	62
K03674	344	334
K03840	65	62
K05809	65	62
K06866	65	58
K08154	65	62
K09899	217	188
K09901	43	37
K09902	324	295
K09904	65	62
K10925	152	126
K12149	65	62
K12961	217	188
K14056	65	58
K15835	43	33
K19227	217	188
K19229	217	188
K19235	43	37
K19304	175	190
K03757	43	33
K07186	65	62
K07751	217	188
K09909	68	66
K18136	2	0
K19228	217	188
K19230	217	188
K01146	65	62
K01766	65	62
K03482	43	33
K03485	43	33
K03645	217	188
K04013	43	33
K05590	217	188
K05775	43	33
K05880	43	33
K06073	43	33
K06074	65	58
K07269	65	62
K07479	195	159
K07648	65	62
K08163	43	33
K08219	65	62
K08475	16	24
K09894	65	62
K10748	65	62
K10906	22	25
K11908	0	1
K11911	22	29
K11925	65	62
K11926	65	62
K11933	43	33
K12113	43	33
K12525	217	188
K12528	43	33
K13014	65	62
K13480	43	33
K15723	217	188
K16136	65	58
K18657	217	188
K18765	65	58
K19226	217	188
K18922	43	33
K18838	172	136
K02467	65	62
K02468	65	62
K05789	43	33
K06146	43	33
K07251	43	37
K07643	65	62
K10550	43	33
K13918	81	82
K19161	195	159
K19292	17	18
K19775	43	33
K19610	19	19
K19609	5	3
K20263	0	6
K20264	0	6
K02679	43	37
K02682	217	188
K01460	43	33
K13243	43	33
K14681	152	126
K18135	0	22
K04022	43	33
K02661	3	3
K15373	205	203
K04067	217	188
K14762	65	62
K02505	217	188
K06144	65	62
K18920	43	33
K04018	43	33
K05798	43	33
K07796	43	33
K09473	65	58
K07790	0	4
K20972	3	3
K00846	2	0
K02430	43	33
K02853	65	62
K03468	65	62
K04333	43	33
K05804	87	91
K09475	43	37
K09476	103	111
K09911	65	62
K09917	65	62
K12288	65	62
K13301	65	62
K15545	65	62
K01355	43	37
K02345	65	62
K02681	65	62
K03971	65	62
K04081	43	33
K05790	65	62
K07229	65	58
K07490	43	33
K07804	22	29
K08348	43	33
K08349	43	33
K08350	43	33
K10973	43	33
K11932	43	33
K12291	43	37
K14057	65	58
K14062	43	33
K18324	65	58
K18326	65	58
K00932	43	33
K02255	43	33
K02317	43	33
K03080	43	33
K03276	43	33
K03838	43	33
K04020	43	33
K04025	43	33
K05594	65	62
K05839	65	62
K05876	87	83
K05877	65	62
K07279	43	33
K07351	43	33
K07470	65	58
K07676	65	62
K07781	65	62
K08277	43	33
K08308	43	33
K09470	65	58
K11685	43	33
K11732	43	33
K11929	65	62
K12147	65	62
K12148	65	62
K12151	87	83
K12289	65	62
K12299	43	33
K12945	65	62
K12974	65	62
K13630	43	33
K13631	87	87
K13632	43	33
K13650	43	33
K13654	43	33
K14063	43	33
K14064	43	33
K15827	43	33
K15828	43	33
K16711	43	33
K18140	43	33
K18141	43	33
K18142	43	33
K18837	129	103
K18919	86	66
K19162	65	58
K19238	43	33
K02436	43	33
K12290	65	62
K16842	22	29
K02425	65	62
K03329	43	33
K07348	43	33
K07349	43	33
K07350	43	33
K16324	43	33
K08278	43	33
K09016	65	58
K18921	43	33
K02972	43	33
K19688	43	33
K14053	43	33
K07352	65	58
K03836	43	33
K11920	43	33
K18899	43	33
K10124	43	33
K12142	43	33
K05806	43	33
K03755	43	33
K05887	43	33
K07314	43	33
K07355	43	33
K07780	43	33
K08326	43	33
K13244	43	33
K18898	43	33
K03459	43	33
K07353	43	33
K07354	43	33
K07591	43	33
K07797	43	33
K11139	43	33
K12146	43	33
K13381	43	33
K14065	43	33
K16140	43	33
K16325	43	33
K16326	43	33
K18531	43	33
K18839	43	33
K13008	43	33
K18799	43	33
K03277	43	33
K12986	43	33
K16701	0	4
K02465	0	4
K16696	22	29
K16700	22	29
K16702	0	4
K16707	22	29
K16708	0	4
K16709	22	29
K09673	0	21
K11441	16	24
